lat,lon,first_crossing_year
-88.1151832460733,252.5,2041.0
-88.1151832460733,253.75,2041.0
-88.1151832460733,255.0,2041.0
-88.1151832460733,256.25,2041.0
-88.1151832460733,257.5,2041.0
-88.1151832460733,258.75,2041.0
-88.1151832460733,260.0,2041.0
-88.1151832460733,261.25,2041.0
-88.1151832460733,262.5,2041.0
-88.1151832460733,263.75,2041.0
-88.1151832460733,265.0,2041.0
-88.1151832460733,266.25,2041.0
-88.1151832460733,267.5,2041.0
-88.1151832460733,268.75,2041.0
-88.1151832460733,270.0,2041.0
-88.1151832460733,271.25,2041.0
-88.1151832460733,272.5,2041.0
-88.1151832460733,273.75,2041.0
-88.1151832460733,275.0,2041.0
-88.1151832460733,276.25,2041.0
-88.1151832460733,277.5,2041.0
-88.1151832460733,278.75,2041.0
-88.1151832460733,280.0,2041.0
-88.1151832460733,281.25,2041.0
-88.1151832460733,282.5,2041.0
-88.1151832460733,283.75,2041.0
-88.1151832460733,285.0,2041.0
-88.1151832460733,286.25,2041.0
-88.1151832460733,287.5,2041.0
-88.1151832460733,288.75,2041.0
-88.1151832460733,290.0,2041.0
-88.1151832460733,291.25,2041.0
-88.1151832460733,292.5,2041.0
-88.1151832460733,293.75,2041.0
-88.1151832460733,295.0,2041.0
-88.1151832460733,296.25,2041.0
-88.1151832460733,297.5,2041.0
-88.1151832460733,298.75,2041.0
-88.1151832460733,300.0,2041.0
-88.1151832460733,301.25,2041.0
-88.1151832460733,302.5,2041.0
-88.1151832460733,303.75,2041.0
-88.1151832460733,305.0,2041.0
-88.1151832460733,306.25,2041.0
-88.1151832460733,307.5,2041.0
-88.1151832460733,308.75,2041.0
-88.1151832460733,310.0,2041.0
-88.1151832460733,311.25,2041.0
-88.1151832460733,312.5,2041.0
-88.1151832460733,313.75,2041.0
-88.1151832460733,315.0,2041.0
-88.1151832460733,316.25,2041.0
-88.1151832460733,317.5,2041.0
-88.1151832460733,318.75,2041.0
-88.1151832460733,320.0,2041.0
-88.1151832460733,321.25,2041.0
-88.1151832460733,322.5,2041.0
-88.1151832460733,323.75,2041.0
-88.1151832460733,325.0,2041.0
